[2025-10-28 02:07:38.542] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Starting to seed default roles and permissions
[2025-10-28 02:07:38.803] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Role already exists: Administrator
[2025-10-28 02:07:38.806] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Role already exists: Manager
[2025-10-28 02:07:38.809] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Role already exists: Moderator
[2025-10-28 02:07:38.812] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Role already exists: User
[2025-10-28 02:07:38.815] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Role already exists: Guest
[2025-10-28 02:07:38.919] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission ViewRoles already assigned to role Administrator
[2025-10-28 02:07:38.926] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission UpdateRole already assigned to role Administrator
[2025-10-28 02:07:38.933] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission AddGame already assigned to role Administrator
[2025-10-28 02:07:38.939] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission UpdateGame already assigned to role Administrator
[2025-10-28 02:07:38.946] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission DeletePlatform already assigned to role Administrator
[2025-10-28 02:07:38.952] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission UpdatePlatform already assigned to role Administrator
[2025-10-28 02:07:38.959] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission DeleteUser already assigned to role Administrator
[2025-10-28 02:07:38.966] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission ViewDeletedGames already assigned to role Administrator
[2025-10-28 02:07:38.973] [INFO] [Gamestore.Services.Services.Auth.DatabaseRoleService] Permission UpdateUser already assigned to role Administrator
